Food_description,Food_type,Energy (kcal),Water (g),Sugar (g),Vitamin C (mg),Calcium (mg),Carbohydrate (g),Cholesterol (mg),Protein (g),Sodium (mg),Vitamin D (ug),Vitamin E (mg),Copper (mg),Iron (mg),Magnesium (mg),Phosphorus (mg),Potassium (mg),Zinc (mg),Total Fat (g),Saturated_fat (g),Fiber total dietary (g)
Apple ,Apples,52,85.56,10.39,4.6,6,13.81,0,0.26,1,0.0,0.18,0.027000000000000003,0.12,5,11,107,0.04,0.17,0.027999999999999997,2.4
Banana ,Bananas,89,74.91,12.23,8.7,5,22.84,0,1.09,1,0.0,0.1,0.078,0.26,27,22,358,0.15,0.33,0.11199999999999999,2.6
Clementine ,Citrus fruits,53,85.17,10.58,26.7,37,13.34,0,0.81,2,0.0,0.2,0.042,0.15,12,20,166,0.07,0.31,0.039,1.8
Grapefruit ,Citrus fruits,42,88.06,6.89,31.2,22,10.66,0,0.77,0,0.0,0.13,0.032,0.08,9,18,135,0.07,0.14,0.021,1.6
Kumquat ,Citrus fruits,71,80.85,9.36,43.9,62,15.9,0,1.88,10,0.0,0.15,0.095,0.86,20,19,186,0.17,0.86,0.10300000000000001,6.5
Tangerine ,Citrus fruits,53,85.17,10.58,26.7,37,13.34,0,0.81,2,0.0,0.2,0.042,0.15,12,20,166,0.07,0.31,0.039,1.8
Lime ,Citrus fruits,30,88.26,1.69,29.1,33,10.54,0,0.7,2,0.0,0.22,0.065,0.6,6,18,102,0.11,0.2,0.022000000000000002,2.8
Orange ,Citrus fruits,47,86.75,9.35,53.2,40,11.75,0,0.94,0,0.0,0.18,0.045,0.1,10,14,181,0.07,0.12,0.015,2.4
Lemon ,Citrus fruits,29,88.98,2.5,53.0,26,9.32,0,1.1,2,0.0,0.15,0.037000000000000005,0.6,8,16,138,0.06,0.3,0.039,2.8
Cherries dried,Dried fruits,333,16.6,67.15,19.3,38,80.45,0,1.25,13,0.0,0.17,0.22899999999999998,0.68,22,36,376,0.25,0.73,0.146,2.5
Fruit mixture dried,Dried fruits,298,17.22,66.33,5.5,39,78.62,0,2.28,32,0.0,1.52,0.21899999999999997,1.3,24,64,531,0.28,0.62,0.10400000000000001,4.8
Apple dried,Dried fruits,243,31.76,57.19,3.9,14,65.89,0,0.93,87,0.0,0.53,0.191,1.4,16,38,450,0.2,0.32,0.052000000000000005,8.7
Apricot dried,Dried fruits,241,30.89,53.44,1.0,55,62.64,0,3.39,10,0.0,4.33,0.34299999999999997,2.66,32,71,1162,0.39,0.51,0.017,7.3
Banana chips,Dried fruits,519,4.3,35.34,6.3,18,58.4,0,2.3,6,0.0,0.24,0.205,1.25,76,56,536,0.75,33.6,28.97,7.7
Blueberries dried,Dried fruits,317,14.8,67.5,23.8,19,80.0,0,2.5,3,0.0,2.35,0.16,0.9,18,36,214,0.49,2.5,0.2,7.5
Cranberries dried,Dried fruits,308,15.79,72.56,0.2,9,82.8,0,0.17,5,0.0,2.1,0.063,0.39,4,8,49,0.1,1.09,0.08800000000000001,5.3
Date,Dried fruits,282,20.53,63.35,0.4,39,75.03,0,2.45,2,0.0,0.05,0.20600000000000002,1.02,43,62,656,0.29,0.39,0.032,8.0
Fig dried,Dried fruits,249,30.0,47.9,1.2,162,63.9,0,3.3,10,0.0,0.36,0.287,2.03,68,67,680,0.66,0.92,0.14400000000000002,9.8
Mango dried,Dried fruits,319,16.6,66.27,42.3,0,78.58,0,2.45,162,0.0,4.02,0.3,0.23,20,50,279,0.3,1.18,0.287,2.4
Peach dried,Dried fruits,239,31.8,41.74,4.8,28,61.33,0,3.61,7,0.0,0.19,0.364,4.06,42,119,996,0.57,0.76,0.08199999999999999,8.2
Pear dried,Dried fruits,262,26.69,62.2,7.0,34,69.7,0,1.87,6,0.0,0.06,0.371,2.1,33,59,533,0.39,0.63,0.035,7.5
Persimmon dried,Dried fruits,366,0.86,80.06,4.0,22,96.07,0,1.54,3,0.0,1.94,0.303,0.42,24,45,429,0.3,0.66,0.053,9.6
Pineapple dried,Dried fruits,313,15.95,72.94,25.4,35,81.54,0,1.43,3,0.0,0.05,0.295,0.79,32,21,290,0.32,0.47,0.024,3.7
Prune dried,Dried fruits,240,30.92,38.13,0.6,43,63.88,0,2.18,2,0.0,0.43,0.281,0.93,41,69,732,0.44,0.38,0.08800000000000001,7.1
Raisins,Dried fruits,299,15.46,65.18,2.3,62,79.32,0,3.3,26,0.0,0.12,0.272,1.79,36,98,744,0.36,0.25,0.094,4.5
Tamarind dried,Dried fruits,254,28.26,44.9,0.6,67,66.21,0,2.52,25,0.0,0.09,0.078,2.52,83,102,565,0.09,0.57,0.245,4.6
Currants dried,Dried fruits,290,17.6,62.28,4.7,88,76.98,0,3.43,43,0.0,0.11,0.298,1.88,36,99,777,0.37,0.22,0.085,4.4
Papaya dried,Dried fruits,295,21.42,67.55,32.4,54,75.43,0,1.25,22,0.0,0.8,0.12300000000000001,0.69,56,27,484,0.22,0.84,0.215,4.5
Grapes ,Grapes,69,80.54,15.48,3.2,10,18.1,0,0.72,2,0.0,0.19,0.127,0.36,7,20,191,0.07,0.16,0.054000000000000006,0.9
Cassaba melon ,Melons,28,91.85,5.69,21.8,11,6.58,0,1.11,9,0.0,0.05,0.06,0.34,11,5,182,0.07,0.1,0.025,0.9
Honeydew melon ,Melons,36,89.82,8.12,18.0,6,9.09,0,0.54,18,0.0,0.02,0.024,0.17,10,11,228,0.09,0.14,0.038,0.8
Cantaloupe ,Melons,34,90.2,7.88,10.9,9,8.16,0,0.82,30,0.0,0.05,0.085,0.38,13,17,157,0.44,0.18,0.051,0.8
Watermelon ,Melons,30,91.45,6.2,8.1,7,7.55,0,0.61,1,0.0,0.05,0.042,0.24,10,11,112,0.1,0.15,0.016,0.4
Mustard greens ,Other dark green vegetables,27,90.7,1.32,70.0,115,4.67,0,2.86,20,0.0,2.01,0.165,1.64,32,58,384,0.25,0.42,0.01,3.2
Chard ,Other dark green vegetables,19,92.66,1.1,30.0,51,3.74,0,1.8,213,0.0,1.89,0.179,1.8,81,46,379,0.36,0.2,0.03,1.6
Collards ,Other dark green vegetables,32,89.62,0.46,35.3,232,5.42,0,3.02,17,0.0,2.26,0.046,0.47,27,25,213,0.21,0.61,0.055,4.0
Cress ,Other dark green vegetables,32,89.4,4.4,69.0,81,5.5,0,2.6,14,0.0,0.7,0.17,1.3,38,76,606,0.23,0.7,0.023,1.1
Dandelion greens ,Other dark green vegetables,45,85.6,0.71,35.0,187,9.2,0,2.7,76,0.0,3.44,0.171,3.1,36,66,397,0.41,0.7,0.17,3.5
Beet greens ,Other dark green vegetables,22,91.02,0.5,30.0,117,4.33,0,2.2,226,0.0,1.5,0.191,2.57,70,41,762,0.38,0.13,0.02,3.7
Kale ,Other dark green vegetables,35,89.6,0.8,93.4,254,4.42,0,2.92,53,0.0,0.66,0.053,1.6,33,55,348,0.39,1.49,0.17800000000000002,4.1
Watercress ,Other dark green vegetables,11,95.11,0.2,43.0,120,1.29,0,2.3,41,0.0,1.0,0.077,0.2,21,60,330,0.11,0.1,0.027000000000000003,0.5
Pepper sweet red ,Other red and orange vegetables,26,92.21,4.2,127.7,7,6.03,0,0.99,4,0.0,1.58,0.017,0.43,12,26,211,0.25,0.3,0.059000000000000004,2.1
Winter squash ,Other red and orange vegetables,26,91.6,2.76,9.0,21,6.5,0,1.0,1,0.0,1.06,0.127,0.8,12,44,340,0.32,0.1,0.052000000000000005,0.5
Fufu,Other starchy vegetables,166,60.65,1.09,11.1,31,33.59,2,1.5,144,0.0,1.66,0.142,0.43,28,58,449,0.3,2.98,0.835,3.1
Poi,Other starchy vegetables,120,68.43,0.43,4.1,46,28.45,0,1.61,12,0.0,2.56,0.185,0.59,35,90,635,0.25,0.22,0.044000000000000004,4.4
Water Chesnut,Other starchy vegetables,78,78.78,3.84,2.0,6,19.22,0,1.38,12,0.0,0.78,0.156,1.36,8,30,184,0.59,0.09,0.025,3.9
Green peas ,Other starchy vegetables,81,78.86,5.67,40.0,25,14.45,0,5.42,5,0.0,0.13,0.17600000000000002,1.47,33,108,244,1.24,0.4,0.071,5.7
Ripe plantain ,Other starchy vegetables,122,65.2,17.51,18.4,3,31.89,0,1.3,4,0.0,0.0,0.07400000000000001,0.55,36,32,487,0.19,0.35,0.0,1.7
Artichoke ,Other vegetables and combinations,53,84.08,0.99,7.4,21,11.95,0,2.89,60,0.0,0.19,0.127,0.61,42,73,286,0.4,0.34,0.079,5.7
Asparagus ,Other vegetables and combinations,20,93.22,1.88,5.6,24,3.88,0,2.2,2,0.0,1.13,0.18899999999999997,2.14,14,52,202,0.54,0.12,0.04,2.1
Bean sprouts ,Other vegetables and combinations,30,90.4,4.13,13.2,13,5.94,0,3.04,6,0.0,0.1,0.16399999999999998,0.91,21,54,149,0.41,0.18,0.046,1.8
Beets ,Other vegetables and combinations,43,87.58,6.76,4.9,16,9.56,0,1.61,78,0.0,0.04,0.075,0.8,23,40,325,0.35,0.17,0.027000000000000003,2.8
Broccoflower ,Other vegetables and combinations,31,89.79,3.03,88.1,33,6.09,0,2.95,23,0.0,0.04,0.040999999999999995,0.73,20,62,300,0.64,0.3,0.047,3.2
Alfalfa sprouts ,Other vegetables and combinations,23,92.82,0.2,8.2,32,2.1,0,3.99,6,0.0,0.02,0.157,0.96,27,70,79,0.92,0.69,0.069,1.9
Brussels sprouts ,Other vegetables and combinations,43,86.0,2.2,85.0,42,8.95,0,3.38,25,0.0,0.88,0.07,1.4,23,69,389,0.42,0.3,0.062,3.8
Cauliflower ,Other vegetables and combinations,25,92.07,1.91,48.2,22,4.97,0,1.92,30,0.0,0.08,0.039,0.42,15,44,299,0.27,0.28,0.13,2.0
Celery ,Other vegetables and combinations,14,95.43,1.34,3.1,40,2.97,0,0.69,80,0.0,0.27,0.035,0.2,11,24,260,0.13,0.17,0.042,1.6
Fennel bulb ,Other vegetables and combinations,31,90.21,3.93,12.0,49,7.3,0,1.24,52,0.0,0.58,0.066,0.73,17,50,414,0.2,0.2,0.09,3.1
Cucumber ,Other vegetables and combinations,15,95.23,1.67,2.8,16,3.63,0,0.65,2,0.0,0.03,0.040999999999999995,0.28,13,24,147,0.2,0.11,0.037000000000000005,0.5
Eggplant ,Other vegetables and combinations,25,92.3,3.53,2.2,9,5.88,0,0.98,2,0.0,0.3,0.081,0.23,14,24,229,0.16,0.18,0.034,3.0
Jicama ,Other vegetables and combinations,38,90.07,1.8,20.2,12,8.82,0,0.72,4,0.0,0.46,0.048,0.6,12,18,150,0.16,0.09,0.021,4.9
Cactus ,Other vegetables and combinations,16,94.12,1.15,9.3,164,3.33,0,1.32,21,0.0,0.0,0.052000000000000005,0.59,52,16,257,0.25,0.09,0.016,2.2
Mushrooms ,Other vegetables and combinations,22,92.45,1.98,2.1,3,3.26,0,3.09,5,0.2,0.01,0.318,0.5,9,86,318,0.52,0.34,0.05,1.0
Pepper poblano ,Other vegetables and combinations,20,93.89,2.4,80.4,10,4.64,0,0.86,3,0.0,0.37,0.066,0.34,10,20,175,0.13,0.17,0.057999999999999996,1.7
Kohlrabi ,Other vegetables and combinations,27,91.0,2.6,62.0,24,6.2,0,1.7,20,0.0,0.48,0.129,0.4,19,46,350,0.03,0.1,0.013000000000000001,3.6
Pepper Serrano ,Other vegetables and combinations,32,90.25,3.83,44.9,11,6.7,0,1.74,10,0.0,0.69,0.129,0.86,22,40,305,0.26,0.44,0.059000000000000004,3.7
Avocado ,Other vegetables and combinations,160,73.23,0.66,10.0,12,8.53,0,2.0,7,0.0,2.07,0.19,0.55,29,52,485,0.64,14.66,2.126,6.7
Turnip ,Other vegetables and combinations,28,91.87,3.8,21.0,30,6.43,0,0.9,67,0.0,0.03,0.085,0.3,11,27,191,0.27,0.1,0.011000000000000001,1.8
Summer squash green ,Other vegetables and combinations,17,94.79,2.5,17.9,16,3.11,0,1.21,8,0.0,0.12,0.053,0.37,18,38,261,0.32,0.32,0.084,1.0
Summer squash yellow ,Other vegetables and combinations,19,94.28,2.88,19.3,21,3.88,0,1.01,2,0.0,0.13,0.092,0.44,20,32,222,0.29,0.27,0.09300000000000001,1.0
Snowpeas ,Other vegetables and combinations,42,88.89,4.0,60.0,43,7.55,0,2.8,4,0.0,0.39,0.079,2.08,24,53,200,0.27,0.2,0.039,2.6
Seaweed ,Other vegetables and combinations,41,82.2,0.58,15.0,129,7.94,0,3.51,384,0.0,0.96,0.226,2.28,77,60,165,0.89,0.49,0.146,0.7
Rutabaga ,Other vegetables and combinations,37,89.43,4.46,25.0,43,8.62,0,1.08,12,0.0,0.3,0.032,0.44,20,53,305,0.24,0.16,0.027000000000000003,2.3
Radish ,Other vegetables and combinations,16,95.27,1.86,14.8,25,3.4,0,0.68,39,0.0,0.0,0.05,0.34,10,20,233,0.28,0.1,0.032,1.6
Pepper banana ,Other vegetables and combinations,27,91.81,1.95,82.7,14,5.35,0,1.66,13,0.0,0.69,0.094,0.46,17,32,256,0.25,0.45,0.048,3.4
Pepper  ,Other vegetables and combinations,22,93.3,3.03,97.0,9,5.13,0,0.91,3,0.0,0.79,0.049,0.37,11,22,188,0.17,0.22,0.057999999999999996,1.8
Pepper sweet green ,Other vegetables and combinations,20,93.89,2.4,80.4,10,4.64,0,0.86,3,0.0,0.37,0.066,0.34,10,20,175,0.13,0.17,0.057999999999999996,1.7
Peach ,Peaches and nectarines,42,88.3,8.39,4.1,4,10.1,0,0.91,13,0.0,0.73,0.078,0.34,8,22,122,0.23,0.27,0.019,1.5
Nectarine ,Peaches and nectarines,39,89.0,7.89,2.9,2,9.18,0,1.06,13,0.0,0.61,0.08199999999999999,0.3,9,26,131,0.21,0.28,0.0,1.5
Peach canned in syrup,Peaches and nectarines,53,85.68,12.41,2.7,2,13.59,0,0.4,3,0.0,0.45,0.05,0.3,5,9,91,0.08,0.08,0.006,1.2
Peach canned juice pack,Peaches and nectarines,41,88.79,8.89,2.8,4,10.3,0,0.45,6,0.0,0.44,0.054000000000000006,0.39,6,12,141,0.1,0.1,0.012,1.2
Peach frozen,Peaches and nectarines,42,88.3,8.39,4.1,4,10.1,0,0.91,13,0.0,0.73,0.078,0.34,8,22,122,0.23,0.27,0.019,1.5
Peach canned ,Peaches and nectarines,47,87.24,10.65,2.7,3,11.94,0,0.43,4,0.0,0.44,0.052000000000000005,0.34,6,10,116,0.09,0.09,0.009000000000000001,1.2
Pear Asian ,Pears,42,88.25,7.05,3.8,4,10.65,0,0.5,0,0.0,0.12,0.05,0.0,8,11,121,0.02,0.23,0.012,3.6
Pear canned ,Pears,51,86.05,11.81,1.0,5,13.47,0,0.2,3,0.0,0.07,0.049,0.25,5,8,75,0.09,0.06,0.006,1.5
Pear canned juice pack,Pears,45,87.63,10.03,1.1,6,11.79,0,0.23,5,0.0,0.08,0.051,0.29,6,9,100,0.1,0.07,0.009000000000000001,1.5
Pear canned in syrup,Pears,57,84.47,13.6,0.9,4,15.15,0,0.18,2,0.0,0.07,0.047,0.2,4,6,49,0.08,0.05,0.002,1.5
Pear ,Pears,57,83.96,9.75,4.3,9,15.23,0,0.36,1,0.0,0.12,0.08199999999999999,0.18,7,12,116,0.1,0.14,0.022000000000000002,3.1
Pineapple ,Pineapple,50,86.0,9.85,47.8,13,13.12,0,0.54,1,0.0,0.02,0.11,0.29,12,8,109,0.12,0.12,0.009000000000000001,1.4
Pineapple canned ,Pineapple,54,85.16,13.07,7.1,15,13.91,0,0.42,2,0.0,0.01,0.098,0.42,17,5,141,0.12,0.12,0.009000000000000001,0.7
Pineapple canned in syrup,Pineapple,60,83.56,14.88,7.1,14,15.6,0,0.4,1,0.0,0.01,0.09699999999999999,0.37,17,4,117,0.11,0.11,0.006,0.7
Pineapple canned juice pack,Pineapple,48,86.76,11.26,7.0,16,12.22,0,0.44,4,0.0,0.01,0.098,0.46,18,7,166,0.12,0.12,0.012,0.8
Pineapple frozen,Pineapple,50,86.0,9.85,47.8,13,13.12,0,0.54,1,0.0,0.02,0.11,0.29,12,8,109,0.12,0.12,0.009000000000000001,1.4
Spinach ,Spinach,23,91.4,0.42,28.1,99,3.63,0,2.86,79,0.0,2.03,0.13,2.71,79,49,558,0.53,0.39,0.063,2.2
Stberries ,Strawberries,32,90.95,4.89,58.8,16,7.68,0,0.67,1,0.0,0.29,0.048,0.41,13,24,153,0.14,0.3,0.015,2.0
Green beans ,String beans,31,90.32,3.26,12.2,37,6.97,0,1.83,6,0.0,0.41,0.069,1.03,25,38,211,0.24,0.22,0.05,2.7
Sun-dried tomatoes,Tomatoes,258,14.56,37.59,39.2,110,55.76,0,14.11,107,0.0,0.01,1.423,9.09,194,356,3427,1.99,2.97,0.426,12.3
Tomatoes ,Tomatoes,18,94.52,2.63,13.7,10,3.89,0,0.88,5,0.0,0.54,0.059000000000000004,0.27,11,24,237,0.17,0.2,0.027999999999999997,1.2
