,fruit_name,ID,Name,Number,Unit,Code,Description,Value
0,FIG,1004,Total lipid (fat),204,G,LCCD,Calculated from a daily value percentage per serving size measure,0.0
1,FIG,1087,"Calcium, Ca",301,MG,LCCD,Calculated from a daily value percentage per serving size measure,8.0
2,FIG,1089,"Iron, Fe",303,MG,LCCD,Calculated from a daily value percentage per serving size measure,0.15
3,FIG,1093,"Sodium, Na",307,MG,LCCD,Calculated from a daily value percentage per serving size measure,0.0
4,FIG,1104,"Vitamin A, IU",318,IU,LCCD,Calculated from a daily value percentage per serving size measure,41.0
5,FIG,1162,"Vitamin C, total ascorbic acid",401,MG,LCCD,Calculated from a daily value percentage per serving size measure,2.0
6,FIG,1253,Cholesterol,601,MG,LCCD,Calculated from a daily value percentage per serving size measure,0.0
7,FIG,1258,"Fatty acids, total saturated",606,G,LCCD,Calculated from a daily value percentage per serving size measure,0.0
8,FIG,1003,Protein,203,G,LCCS,Calculated from value per serving size measure,0.41
9,FIG,1005,"Carbohydrate, by difference",205,G,LCCS,Calculated from value per serving size measure,14.05
10,FIG,1008,Energy,208,KCAL,LCCS,Calculated from value per serving size measure,54.0
11,FIG,2000,"Sugars, total including NLEA",269,G,LCCS,Calculated from value per serving size measure,10.33
12,FIG,1079,"Fiber, total dietary",291,G,LCCS,Calculated from value per serving size measure,2.1
13,FIG,1092,"Potassium, K",306,MG,LCCS,Calculated from value per serving size measure,107.0
14,FIG,1257,"Fatty acids, total trans",605,G,LCCS,Calculated from value per serving size measure,0.0
15,BANANA,1004,Total lipid (fat),204,G,LCCD,Calculated from a daily value percentage per serving size measure,0.0
16,BANANA,1087,"Calcium, Ca",301,MG,LCCD,Calculated from a daily value percentage per serving size measure,8.0
17,BANANA,1089,"Iron, Fe",303,MG,LCCD,Calculated from a daily value percentage per serving size measure,0.15
18,BANANA,1093,"Sodium, Na",307,MG,LCCD,Calculated from a daily value percentage per serving size measure,0.0
19,BANANA,1104,"Vitamin A, IU",318,IU,LCCD,Calculated from a daily value percentage per serving size measure,41.0
20,BANANA,1162,"Vitamin C, total ascorbic acid",401,MG,LCCD,Calculated from a daily value percentage per serving size measure,2.0
21,BANANA,1253,Cholesterol,601,MG,LCCD,Calculated from a daily value percentage per serving size measure,0.0
22,BANANA,1258,"Fatty acids, total saturated",606,G,LCCD,Calculated from a daily value percentage per serving size measure,0.0
23,BANANA,1003,Protein,203,G,LCCS,Calculated from value per serving size measure,0.41
24,BANANA,1005,"Carbohydrate, by difference",205,G,LCCS,Calculated from value per serving size measure,14.05
25,BANANA,1008,Energy,208,KCAL,LCCS,Calculated from value per serving size measure,54.0
26,BANANA,2000,"Sugars, total including NLEA",269,G,LCCS,Calculated from value per serving size measure,10.33
27,BANANA,1079,"Fiber, total dietary",291,G,LCCS,Calculated from value per serving size measure,2.1
28,BANANA,1092,"Potassium, K",306,MG,LCCS,Calculated from value per serving size measure,107.0
29,BANANA,1257,"Fatty acids, total trans",605,G,LCCS,Calculated from value per serving size measure,0.0
30,APPLE,1004,Total lipid (fat),204,G,LCCD,Calculated from a daily value percentage per serving size measure,0.0
31,APPLE,1087,"Calcium, Ca",301,MG,LCCD,Calculated from a daily value percentage per serving size measure,8.0
32,APPLE,1089,"Iron, Fe",303,MG,LCCD,Calculated from a daily value percentage per serving size measure,0.15
33,APPLE,1093,"Sodium, Na",307,MG,LCCD,Calculated from a daily value percentage per serving size measure,0.0
34,APPLE,1104,"Vitamin A, IU",318,IU,LCCD,Calculated from a daily value percentage per serving size measure,41.0
35,APPLE,1162,"Vitamin C, total ascorbic acid",401,MG,LCCD,Calculated from a daily value percentage per serving size measure,2.0
36,APPLE,1253,Cholesterol,601,MG,LCCD,Calculated from a daily value percentage per serving size measure,0.0
37,APPLE,1258,"Fatty acids, total saturated",606,G,LCCD,Calculated from a daily value percentage per serving size measure,0.0
38,APPLE,1003,Protein,203,G,LCCS,Calculated from value per serving size measure,0.41
39,APPLE,1005,"Carbohydrate, by difference",205,G,LCCS,Calculated from value per serving size measure,14.05
40,APPLE,1008,Energy,208,KCAL,LCCS,Calculated from value per serving size measure,54.0
41,APPLE,2000,"Sugars, total including NLEA",269,G,LCCS,Calculated from value per serving size measure,10.33
42,APPLE,1079,"Fiber, total dietary",291,G,LCCS,Calculated from value per serving size measure,2.1
43,APPLE,1092,"Potassium, K",306,MG,LCCS,Calculated from value per serving size measure,107.0
44,APPLE,1257,"Fatty acids, total trans",605,G,LCCS,Calculated from value per serving size measure,0.0
45,LEMON,1004,Total lipid (fat),204,G,LCCD,Calculated from a daily value percentage per serving size measure,0.0
46,LEMON,1087,"Calcium, Ca",301,MG,LCCD,Calculated from a daily value percentage per serving size measure,8.0
47,LEMON,1089,"Iron, Fe",303,MG,LCCD,Calculated from a daily value percentage per serving size measure,0.15
48,LEMON,1093,"Sodium, Na",307,MG,LCCD,Calculated from a daily value percentage per serving size measure,0.0
49,LEMON,1104,"Vitamin A, IU",318,IU,LCCD,Calculated from a daily value percentage per serving size measure,41.0
50,LEMON,1162,"Vitamin C, total ascorbic acid",401,MG,LCCD,Calculated from a daily value percentage per serving size measure,2.0
51,LEMON,1253,Cholesterol,601,MG,LCCD,Calculated from a daily value percentage per serving size measure,0.0
52,LEMON,1258,"Fatty acids, total saturated",606,G,LCCD,Calculated from a daily value percentage per serving size measure,0.0
53,LEMON,1003,Protein,203,G,LCCS,Calculated from value per serving size measure,0.41
54,LEMON,1005,"Carbohydrate, by difference",205,G,LCCS,Calculated from value per serving size measure,14.05
55,LEMON,1008,Energy,208,KCAL,LCCS,Calculated from value per serving size measure,54.0
56,LEMON,2000,"Sugars, total including NLEA",269,G,LCCS,Calculated from value per serving size measure,10.33
57,LEMON,1079,"Fiber, total dietary",291,G,LCCS,Calculated from value per serving size measure,2.1
58,LEMON,1092,"Potassium, K",306,MG,LCCS,Calculated from value per serving size measure,107.0
59,LEMON,1257,"Fatty acids, total trans",605,G,LCCS,Calculated from value per serving size measure,0.0
60,ORANGE,1004,Total lipid (fat),204,G,LCCD,Calculated from a daily value percentage per serving size measure,0.0
61,ORANGE,1087,"Calcium, Ca",301,MG,LCCD,Calculated from a daily value percentage per serving size measure,8.0
62,ORANGE,1089,"Iron, Fe",303,MG,LCCD,Calculated from a daily value percentage per serving size measure,0.15
63,ORANGE,1093,"Sodium, Na",307,MG,LCCD,Calculated from a daily value percentage per serving size measure,0.0
64,ORANGE,1104,"Vitamin A, IU",318,IU,LCCD,Calculated from a daily value percentage per serving size measure,41.0
65,ORANGE,1162,"Vitamin C, total ascorbic acid",401,MG,LCCD,Calculated from a daily value percentage per serving size measure,2.0
66,ORANGE,1253,Cholesterol,601,MG,LCCD,Calculated from a daily value percentage per serving size measure,0.0
67,ORANGE,1258,"Fatty acids, total saturated",606,G,LCCD,Calculated from a daily value percentage per serving size measure,0.0
68,ORANGE,1003,Protein,203,G,LCCS,Calculated from value per serving size measure,0.41
69,ORANGE,1005,"Carbohydrate, by difference",205,G,LCCS,Calculated from value per serving size measure,14.05
70,ORANGE,1008,Energy,208,KCAL,LCCS,Calculated from value per serving size measure,54.0
71,ORANGE,2000,"Sugars, total including NLEA",269,G,LCCS,Calculated from value per serving size measure,10.33
72,ORANGE,1079,"Fiber, total dietary",291,G,LCCS,Calculated from value per serving size measure,2.1
73,ORANGE,1092,"Potassium, K",306,MG,LCCS,Calculated from value per serving size measure,107.0
74,ORANGE,1257,"Fatty acids, total trans",605,G,LCCS,Calculated from value per serving size measure,0.0
75,STRAWBERRY,1004,Total lipid (fat),204,G,LCCD,Calculated from a daily value percentage per serving size measure,0.0
76,STRAWBERRY,1087,"Calcium, Ca",301,MG,LCCD,Calculated from a daily value percentage per serving size measure,8.0
77,STRAWBERRY,1089,"Iron, Fe",303,MG,LCCD,Calculated from a daily value percentage per serving size measure,0.15
78,STRAWBERRY,1093,"Sodium, Na",307,MG,LCCD,Calculated from a daily value percentage per serving size measure,0.0
79,STRAWBERRY,1104,"Vitamin A, IU",318,IU,LCCD,Calculated from a daily value percentage per serving size measure,41.0
80,STRAWBERRY,1162,"Vitamin C, total ascorbic acid",401,MG,LCCD,Calculated from a daily value percentage per serving size measure,2.0
81,STRAWBERRY,1253,Cholesterol,601,MG,LCCD,Calculated from a daily value percentage per serving size measure,0.0
82,STRAWBERRY,1258,"Fatty acids, total saturated",606,G,LCCD,Calculated from a daily value percentage per serving size measure,0.0
83,STRAWBERRY,1003,Protein,203,G,LCCS,Calculated from value per serving size measure,0.41
84,STRAWBERRY,1005,"Carbohydrate, by difference",205,G,LCCS,Calculated from value per serving size measure,14.05
85,STRAWBERRY,1008,Energy,208,KCAL,LCCS,Calculated from value per serving size measure,54.0
86,STRAWBERRY,2000,"Sugars, total including NLEA",269,G,LCCS,Calculated from value per serving size measure,10.33
87,STRAWBERRY,1079,"Fiber, total dietary",291,G,LCCS,Calculated from value per serving size measure,2.1
88,STRAWBERRY,1092,"Potassium, K",306,MG,LCCS,Calculated from value per serving size measure,107.0
89,STRAWBERRY,1257,"Fatty acids, total trans",605,G,LCCS,Calculated from value per serving size measure,0.0
90,PINEAPPLE,1004,Total lipid (fat),204,G,LCCD,Calculated from a daily value percentage per serving size measure,0.0
91,PINEAPPLE,1087,"Calcium, Ca",301,MG,LCCD,Calculated from a daily value percentage per serving size measure,8.0
92,PINEAPPLE,1089,"Iron, Fe",303,MG,LCCD,Calculated from a daily value percentage per serving size measure,0.15
93,PINEAPPLE,1093,"Sodium, Na",307,MG,LCCD,Calculated from a daily value percentage per serving size measure,0.0
94,PINEAPPLE,1104,"Vitamin A, IU",318,IU,LCCD,Calculated from a daily value percentage per serving size measure,41.0
95,PINEAPPLE,1162,"Vitamin C, total ascorbic acid",401,MG,LCCD,Calculated from a daily value percentage per serving size measure,2.0
96,PINEAPPLE,1253,Cholesterol,601,MG,LCCD,Calculated from a daily value percentage per serving size measure,0.0
97,PINEAPPLE,1258,"Fatty acids, total saturated",606,G,LCCD,Calculated from a daily value percentage per serving size measure,0.0
98,PINEAPPLE,1003,Protein,203,G,LCCS,Calculated from value per serving size measure,0.41
99,PINEAPPLE,1005,"Carbohydrate, by difference",205,G,LCCS,Calculated from value per serving size measure,14.05
100,PINEAPPLE,1008,Energy,208,KCAL,LCCS,Calculated from value per serving size measure,54.0
101,PINEAPPLE,2000,"Sugars, total including NLEA",269,G,LCCS,Calculated from value per serving size measure,10.33
102,PINEAPPLE,1079,"Fiber, total dietary",291,G,LCCS,Calculated from value per serving size measure,2.1
103,PINEAPPLE,1092,"Potassium, K",306,MG,LCCS,Calculated from value per serving size measure,107.0
104,PINEAPPLE,1257,"Fatty acids, total trans",605,G,LCCS,Calculated from value per serving size measure,0.0
105,POMEGRANATE,1004,Total lipid (fat),204,G,LCCD,Calculated from a daily value percentage per serving size measure,0.0
106,POMEGRANATE,1087,"Calcium, Ca",301,MG,LCCD,Calculated from a daily value percentage per serving size measure,8.0
107,POMEGRANATE,1089,"Iron, Fe",303,MG,LCCD,Calculated from a daily value percentage per serving size measure,0.15
108,POMEGRANATE,1093,"Sodium, Na",307,MG,LCCD,Calculated from a daily value percentage per serving size measure,0.0
109,POMEGRANATE,1104,"Vitamin A, IU",318,IU,LCCD,Calculated from a daily value percentage per serving size measure,41.0
110,POMEGRANATE,1162,"Vitamin C, total ascorbic acid",401,MG,LCCD,Calculated from a daily value percentage per serving size measure,2.0
111,POMEGRANATE,1253,Cholesterol,601,MG,LCCD,Calculated from a daily value percentage per serving size measure,0.0
112,POMEGRANATE,1258,"Fatty acids, total saturated",606,G,LCCD,Calculated from a daily value percentage per serving size measure,0.0
113,POMEGRANATE,1003,Protein,203,G,LCCS,Calculated from value per serving size measure,0.41
114,POMEGRANATE,1005,"Carbohydrate, by difference",205,G,LCCS,Calculated from value per serving size measure,14.05
115,POMEGRANATE,1008,Energy,208,KCAL,LCCS,Calculated from value per serving size measure,54.0
116,POMEGRANATE,2000,"Sugars, total including NLEA",269,G,LCCS,Calculated from value per serving size measure,10.33
117,POMEGRANATE,1079,"Fiber, total dietary",291,G,LCCS,Calculated from value per serving size measure,2.1
118,POMEGRANATE,1092,"Potassium, K",306,MG,LCCS,Calculated from value per serving size measure,107.0
119,POMEGRANATE,1257,"Fatty acids, total trans",605,G,LCCS,Calculated from value per serving size measure,0.0
120,JACKFRUIT,1004,Total lipid (fat),204,G,LCCD,Calculated from a daily value percentage per serving size measure,0.0
121,JACKFRUIT,1087,"Calcium, Ca",301,MG,LCCD,Calculated from a daily value percentage per serving size measure,8.0
122,JACKFRUIT,1089,"Iron, Fe",303,MG,LCCD,Calculated from a daily value percentage per serving size measure,0.15
123,JACKFRUIT,1093,"Sodium, Na",307,MG,LCCD,Calculated from a daily value percentage per serving size measure,0.0
124,JACKFRUIT,1104,"Vitamin A, IU",318,IU,LCCD,Calculated from a daily value percentage per serving size measure,41.0
125,JACKFRUIT,1162,"Vitamin C, total ascorbic acid",401,MG,LCCD,Calculated from a daily value percentage per serving size measure,2.0
126,JACKFRUIT,1253,Cholesterol,601,MG,LCCD,Calculated from a daily value percentage per serving size measure,0.0
127,JACKFRUIT,1258,"Fatty acids, total saturated",606,G,LCCD,Calculated from a daily value percentage per serving size measure,0.0
128,JACKFRUIT,1003,Protein,203,G,LCCS,Calculated from value per serving size measure,0.41
129,JACKFRUIT,1005,"Carbohydrate, by difference",205,G,LCCS,Calculated from value per serving size measure,14.05
130,JACKFRUIT,1008,Energy,208,KCAL,LCCS,Calculated from value per serving size measure,54.0
131,JACKFRUIT,2000,"Sugars, total including NLEA",269,G,LCCS,Calculated from value per serving size measure,10.33
132,JACKFRUIT,1079,"Fiber, total dietary",291,G,LCCS,Calculated from value per serving size measure,2.1
133,JACKFRUIT,1092,"Potassium, K",306,MG,LCCS,Calculated from value per serving size measure,107.0
134,JACKFRUIT,1257,"Fatty acids, total trans",605,G,LCCS,Calculated from value per serving size measure,0.0
135,BROCCOLI,1004,Total lipid (fat),204,G,LCCD,Calculated from a daily value percentage per serving size measure,0.0
136,BROCCOLI,1087,"Calcium, Ca",301,MG,LCCD,Calculated from a daily value percentage per serving size measure,8.0
137,BROCCOLI,1089,"Iron, Fe",303,MG,LCCD,Calculated from a daily value percentage per serving size measure,0.15
138,BROCCOLI,1093,"Sodium, Na",307,MG,LCCD,Calculated from a daily value percentage per serving size measure,0.0
139,BROCCOLI,1104,"Vitamin A, IU",318,IU,LCCD,Calculated from a daily value percentage per serving size measure,41.0
140,BROCCOLI,1162,"Vitamin C, total ascorbic acid",401,MG,LCCD,Calculated from a daily value percentage per serving size measure,2.0
141,BROCCOLI,1253,Cholesterol,601,MG,LCCD,Calculated from a daily value percentage per serving size measure,0.0
142,BROCCOLI,1258,"Fatty acids, total saturated",606,G,LCCD,Calculated from a daily value percentage per serving size measure,0.0
143,BROCCOLI,1003,Protein,203,G,LCCS,Calculated from value per serving size measure,0.41
144,BROCCOLI,1005,"Carbohydrate, by difference",205,G,LCCS,Calculated from value per serving size measure,14.05
145,BROCCOLI,1008,Energy,208,KCAL,LCCS,Calculated from value per serving size measure,54.0
146,BROCCOLI,2000,"Sugars, total including NLEA",269,G,LCCS,Calculated from value per serving size measure,10.33
147,BROCCOLI,1079,"Fiber, total dietary",291,G,LCCS,Calculated from value per serving size measure,2.1
148,BROCCOLI,1092,"Potassium, K",306,MG,LCCS,Calculated from value per serving size measure,107.0
149,BROCCOLI,1257,"Fatty acids, total trans",605,G,LCCS,Calculated from value per serving size measure,0.0
150,STEAMABLE GARDEN VEGETABLE MEDLEY,1004,Total lipid (fat),204,G,LCCD,Calculated from a daily value percentage per serving size measure,0.0
151,STEAMABLE GARDEN VEGETABLE MEDLEY,1087,"Calcium, Ca",301,MG,LCCD,Calculated from a daily value percentage per serving size measure,8.0
152,STEAMABLE GARDEN VEGETABLE MEDLEY,1089,"Iron, Fe",303,MG,LCCD,Calculated from a daily value percentage per serving size measure,0.15
153,STEAMABLE GARDEN VEGETABLE MEDLEY,1093,"Sodium, Na",307,MG,LCCD,Calculated from a daily value percentage per serving size measure,0.0
154,STEAMABLE GARDEN VEGETABLE MEDLEY,1104,"Vitamin A, IU",318,IU,LCCD,Calculated from a daily value percentage per serving size measure,41.0
155,STEAMABLE GARDEN VEGETABLE MEDLEY,1162,"Vitamin C, total ascorbic acid",401,MG,LCCD,Calculated from a daily value percentage per serving size measure,2.0
156,STEAMABLE GARDEN VEGETABLE MEDLEY,1253,Cholesterol,601,MG,LCCD,Calculated from a daily value percentage per serving size measure,0.0
157,STEAMABLE GARDEN VEGETABLE MEDLEY,1258,"Fatty acids, total saturated",606,G,LCCD,Calculated from a daily value percentage per serving size measure,0.0
158,STEAMABLE GARDEN VEGETABLE MEDLEY,1003,Protein,203,G,LCCS,Calculated from value per serving size measure,0.41
159,STEAMABLE GARDEN VEGETABLE MEDLEY,1005,"Carbohydrate, by difference",205,G,LCCS,Calculated from value per serving size measure,14.05
160,STEAMABLE GARDEN VEGETABLE MEDLEY,1008,Energy,208,KCAL,LCCS,Calculated from value per serving size measure,54.0
161,STEAMABLE GARDEN VEGETABLE MEDLEY,2000,"Sugars, total including NLEA",269,G,LCCS,Calculated from value per serving size measure,10.33
162,STEAMABLE GARDEN VEGETABLE MEDLEY,1079,"Fiber, total dietary",291,G,LCCS,Calculated from value per serving size measure,2.1
163,STEAMABLE GARDEN VEGETABLE MEDLEY,1092,"Potassium, K",306,MG,LCCS,Calculated from value per serving size measure,107.0
164,STEAMABLE GARDEN VEGETABLE MEDLEY,1257,"Fatty acids, total trans",605,G,LCCS,Calculated from value per serving size measure,0.0
165,"Cucumber, raw",1004,Total lipid (fat),204,G,LCCD,Calculated from a daily value percentage per serving size measure,0.0
166,"Cucumber, raw",1087,"Calcium, Ca",301,MG,LCCD,Calculated from a daily value percentage per serving size measure,8.0
167,"Cucumber, raw",1089,"Iron, Fe",303,MG,LCCD,Calculated from a daily value percentage per serving size measure,0.15
168,"Cucumber, raw",1093,"Sodium, Na",307,MG,LCCD,Calculated from a daily value percentage per serving size measure,0.0
169,"Cucumber, raw",1104,"Vitamin A, IU",318,IU,LCCD,Calculated from a daily value percentage per serving size measure,41.0
170,"Cucumber, raw",1162,"Vitamin C, total ascorbic acid",401,MG,LCCD,Calculated from a daily value percentage per serving size measure,2.0
171,"Cucumber, raw",1253,Cholesterol,601,MG,LCCD,Calculated from a daily value percentage per serving size measure,0.0
172,"Cucumber, raw",1258,"Fatty acids, total saturated",606,G,LCCD,Calculated from a daily value percentage per serving size measure,0.0
173,"Cucumber, raw",1003,Protein,203,G,LCCS,Calculated from value per serving size measure,0.41
174,"Cucumber, raw",1005,"Carbohydrate, by difference",205,G,LCCS,Calculated from value per serving size measure,14.05
175,"Cucumber, raw",1008,Energy,208,KCAL,LCCS,Calculated from value per serving size measure,54.0
176,"Cucumber, raw",2000,"Sugars, total including NLEA",269,G,LCCS,Calculated from value per serving size measure,10.33
177,"Cucumber, raw",1079,"Fiber, total dietary",291,G,LCCS,Calculated from value per serving size measure,2.1
178,"Cucumber, raw",1092,"Potassium, K",306,MG,LCCS,Calculated from value per serving size measure,107.0
179,"Cucumber, raw",1257,"Fatty acids, total trans",605,G,LCCS,Calculated from value per serving size measure,0.0
